i = 0   Syst = 0.180137
i = 1   Syst = -0.00973426
i = 2   Syst = 0.00465624
i = 3   Syst = -0.0127129
i = 0   Syst = 0.178928
i = 1   Syst = -0.00944483
i = 2   Syst = 0.00551789
i = 3   Syst = -0.0103104
i = 0   Syst = 0.167736
i = 1   Syst = 0.0515236
i = 2   Syst = -0.0479783
i = 3   Syst = -0.0182812
i = 0   Syst = 0.122032
i = 1   Syst = 0.00371571
i = 2   Syst = -0.00926721
i = 3   Syst = -0.0103906
i = 0   Syst = 0.347694
i = 1   Syst = 0.00977937
i = 2   Syst = -0.0224844
i = 3   Syst = -0.0402751
i = 0   Syst = -3.62189e-05
i = 1   Syst = 0.00479618
i = 2   Syst = 0.043846
i = 3   Syst = 0.0667592
i = 0   Syst = 0.0455317
i = 1   Syst = -0.0221656
i = 2   Syst = 0.0076644
i = 3   Syst = 0.104131
i = 0   Syst = 0.0388445
i = 1   Syst = 0.151446
i = 2   Syst = 0.0319824
i = 3   Syst = -0.0170443
